,gender,age,income,user_id,signup_date,signup_year,age_group,income_group,amount,spend_group
102,F,29,58000,103,2018-03-21,2018,1,3,30.48,3
103,M,43,70000,104,2017-09-15,2017,2,3,2.03,1
104,F,89,65000,105,2018-01-14,2018,5,3,124.82000000000001,7
105,F,49,79000,106,2018-05-18,2018,2,4,24.93,3
106,M,79,67000,107,2016-06-27,2016,5,3,317.03,10
107,F,55,94000,108,2017-10-16,2017,3,5,195.35,9
108,M,55,66000,109,2017-12-03,2017,3,3,272.23,10
109,M,45,31000,110,2017-10-07,2017,2,1,16.46,2
110,M,52,30000,111,2018-01-30,2018,3,1,9.799999999999999,1
111,M,39,55000,112,2016-04-04,2016,1,2,156.54,8
112,M,77,69000,113,2018-07-02,2018,5,3,60.25,4
113,M,66,60000,114,2018-07-09,2018,4,3,30.9,3
114,F,69,87000,115,2017-09-27,2017,4,5,53.21,4
115,M,74,53000,116,2014-08-20,2014,5,2,55.129999999999995,4
116,F,75,87000,117,2018-07-12,2018,5,5,114.7,7
117,F,59,85000,118,2015-09-09,2015,3,4,193.10000000000002,9
118,M,47,66000,119,2013-12-30,2013,2,3,74.17,5
119,M,20,69000,120,2018-05-28,2018,1,3,0.87,1
120,M,60,108000,121,2017-04-26,2017,4,5,127.28,7
121,M,65,61000,122,2018-03-15,2018,4,3,24.000000000000004,3
122,M,33,43000,123,2015-04-21,2015,1,1,19.78,2
123,F,39,67000,124,2017-12-17,2017,1,3,562.77,10
124,M,49,59000,125,2018-06-02,2018,2,3,38.26,3
125,M,68,58000,126,2018-02-07,2018,4,3,17.19,2
126,M,42,80000,127,2017-02-09,2017,2,4,53.74,4
127,M,72,33000,128,2018-06-01,2018,5,1,8.14,1
128,F,18,49000,129,2017-05-24,2017,1,2,30.47,3
129,F,32,42000,130,2018-06-28,2018,1,1,71.19,5
130,M,67,50000,131,2017-08-28,2017,4,2,33.07,3
131,M,52,42000,132,2018-07-04,2018,3,1,5.4,1
132,M,38,64000,133,2017-10-19,2017,1,3,150.94,8
133,F,60,77000,134,2018-03-16,2018,4,4,106.91000000000001,6
134,F,62,77000,135,2017-12-22,2017,4,4,33.46,3
135,F,55,51000,136,2018-07-08,2018,3,2,25.9,3
136,M,22,63000,137,2018-04-28,2018,1,3,19.8,2
137,M,34,41000,138,2017-12-06,2017,1,1,118.41,7
138,M,46,60000,139,2014-12-14,2014,2,3,105.58,6
139,M,85,67000,140,2018-07-26,2018,5,3,22.18,2
140,F,51,85000,141,2017-03-16,2017,2,4,180.0,8
141,F,53,85000,142,2016-04-27,2016,3,4,177.09,8
142,M,51,92000,143,2016-08-10,2016,2,5,330.92,10
143,M,48,44000,144,2015-06-01,2015,2,1,58.18,4
144,M,52,72000,145,2018-06-05,2018,3,4,66.05,5
145,M,62,53000,146,2016-03-05,2016,4,2,125.56,7
146,M,42,62000,147,2018-03-25,2018,2,3,12.120000000000001,1
147,M,55,65000,148,2017-10-25,2017,3,3,16.69,2
148,F,27,50000,149,2015-09-15,2015,1,2,89.78,6
149,M,68,107000,150,2018-05-30,2018,4,5,253.72,10
150,F,74,83000,151,2017-12-20,2017,5,4,25.69,3
151,M,77,66000,152,2014-10-11,2014,5,3,87.13,6
152,M,35,72000,153,2018-01-18,2018,1,4,261.56,10
153,F,50,69000,154,2017-11-08,2017,2,3,184.96,9
154,M,45,94000,155,2015-10-27,2015,2,5,162.91,8
155,M,82,87000,156,2016-12-31,2016,5,5,155.64,8
156,M,40,57000,157,2013-12-22,2013,2,2,79.94999999999999,5
157,M,66,34000,158,2018-06-17,2018,4,1,10.6,1
158,M,52,63000,159,2018-04-11,2018,3,3,6.18,1
159,F,57,89000,160,2016-03-29,2016,3,5,226.68,9
160,M,68,69000,161,2016-06-29,2016,4,3,143.03,7
161,M,21,52000,162,2018-03-03,2018,1,2,13.98,2
162,M,61,44000,163,2017-08-15,2017,4,1,17.7,2
163,F,58,54000,164,2018-03-17,2018,3,2,21.5,2
164,F,67,54000,165,2018-06-14,2018,4,2,17.38,2
165,M,24,61000,166,2017-02-12,2017,1,3,155.42000000000002,8
166,M,26,35000,167,2017-11-17,2017,1,1,10.1,1
167,F,71,105000,168,2017-12-07,2017,5,5,212.27,9
168,F,69,64000,169,2017-12-12,2017,4,3,146.49,8
169,M,81,93000,170,2018-05-03,2018,5,5,0.0,1
170,M,62,73000,171,2016-04-05,2016,4,4,232.19,9
171,M,38,74000,172,2017-07-09,2017,1,4,796.77,10
172,M,61,82000,173,2017-09-26,2017,4,4,62.650000000000006,5
173,F,52,92000,174,2017-08-09,2017,3,5,23.59,2
174,M,50,70000,175,2017-12-25,2017,2,3,218.67,9
175,M,54,118000,176,2017-02-16,2017,3,5,185.60999999999999,9
176,F,75,109000,177,2018-05-02,2018,5,5,37.04,3
177,M,82,73000,178,2018-03-19,2018,5,4,36.3,3
178,M,64,38000,179,2018-07-20,2018,4,1,10.54,1
179,F,54,99000,180,2015-10-06,2015,3,5,163.18,8
180,M,82,72000,181,2018-01-08,2018,5,4,16.430000000000003,2
181,M,90,45000,182,2018-05-09,2018,5,1,10.76,1
182,F,34,67000,183,2018-04-17,2018,1,3,19.060000000000002,2
183,M,44,53000,184,2018-07-18,2018,2,2,69.32000000000001,5
184,F,79,106000,185,2018-07-11,2018,5,5,0.0,1
185,F,58,95000,186,2016-12-31,2016,3,5,321.03,10
186,F,47,74000,187,2016-01-05,2016,2,4,254.69,10
187,F,60,59000,188,2017-11-17,2017,4,3,24.6,3
188,M,83,54000,189,2017-08-07,2017,5,2,164.79,8
189,F,74,103000,190,2018-05-17,2018,5,5,0.0,1
190,M,89,101000,191,2015-09-17,2015,5,5,160.52,8
191,M,68,62000,192,2016-03-05,2016,4,3,142.3,7
192,F,63,110000,193,2017-11-27,2017,4,5,102.67,6
193,F,40,51000,194,2018-07-06,2018,2,2,72.2,5
194,F,79,99000,195,2017-12-17,2017,5,5,161.85,8
195,M,71,30000,196,2018-03-21,2018,5,1,12.49,1
196,F,76,114000,197,2015-09-06,2015,5,5,183.18,9
197,M,89,96000,198,2016-05-28,2016,5,5,140.53,7
198,M,63,36000,199,2017-07-29,2017,4,1,12.16,1
199,M,41,83000,200,2017-09-22,2017,2,4,0.0,1
200,F,71,56000,201,2018-04-08,2018,5,2,164.16,8
201,M,44,36000,202,2017-10-11,2017,2,1,21.560000000000002,2
202,M,25,73000,203,2016-04-06,2016,1,4,69.87,5
203,M,27,70000,204,2018-03-27,2018,1,3,13.290000000000001,2
204,M,67,106000,205,2018-02-12,2018,4,5,171.87,8
205,F,77,80000,206,2016-02-19,2016,5,4,222.36,9
206,F,68,66000,207,2015-12-29,2015,4,3,145.28,8
207,M,37,64000,208,2016-04-20,2016,1,3,261.37,10
208,M,55,60000,209,2016-03-23,2016,3,3,15.33,2
209,M,30,54000,210,2016-09-03,2016,1,2,700.47,10
210,M,51,54000,211,2015-08-15,2015,2,2,252.23,10
211,F,47,92000,212,2018-07-12,2018,2,5,66.15,5
212,M,49,48000,213,2018-02-04,2018,2,2,19.240000000000002,2
213,M,32,38000,214,2015-10-08,2015,1,1,172.35,8
214,M,30,69000,215,2017-04-18,2017,1,3,167.79,8
215,M,47,86000,216,2017-02-25,2017,2,5,241.55,10
216,M,34,34000,217,2017-01-23,2017,1,1,88.83,6
217,F,78,101000,218,2017-06-04,2017,5,5,187.29,9
218,F,85,71000,219,2016-03-02,2016,5,4,274.17,10
219,F,75,69000,220,2013-08-06,2013,5,3,121.86,7
220,F,76,71000,221,2017-03-11,2017,5,4,240.14,10
221,F,89,59000,222,2015-07-22,2015,5,3,56.519999999999996,4
222,M,58,70000,223,2018-01-29,2018,3,3,30.41,3
223,M,23,49000,224,2017-10-30,2017,1,2,74.96000000000001,5
224,M,58,53000,225,2017-09-16,2017,3,2,122.65,7
225,F,64,95000,226,2015-10-12,2015,4,5,179.98,8
226,M,72,39000,227,2017-09-09,2017,5,1,96.14,6
227,F,66,72000,228,2017-08-11,2017,4,4,113.85000000000001,6
228,F,49,68000,229,2017-08-09,2017,2,3,14.489999999999998,2
229,M,43,71000,230,2017-04-13,2017,2,4,204.5,9
230,M,58,39000,231,2018-07-17,2018,3,1,5.040000000000001,1
231,M,43,76000,232,2017-08-06,2017,2,4,157.16,8
232,F,56,87000,233,2017-03-29,2017,3,5,223.46,9
233,F,69,118000,234,2017-10-16,2017,4,5,54.1,4
234,O,60,94000,235,2018-02-16,2018,4,5,857.75,10
235,M,81,70000,236,2016-06-01,2016,5,3,153.94,8
236,M,42,91000,237,2017-04-03,2017,2,5,139.98,7
237,M,75,71000,238,2015-01-10,2015,5,4,50.56,4
238,M,62,73000,239,2018-01-27,2018,4,4,27.23,3
239,F,55,54000,240,2016-05-05,2016,3,2,220.47,9
240,M,65,39000,241,2017-10-11,2017,4,1,82.41999999999999,5
241,M,52,46000,242,2017-02-27,2017,3,2,141.64,7
242,F,30,40000,243,2017-10-15,2017,1,1,110.78999999999999,6
243,F,74,75000,244,2015-09-24,2015,5,4,99.47,6
244,F,100,63000,245,2015-08-28,2015,5,3,217.62,9
245,F,26,40000,246,2017-03-24,2017,1,1,610.52,10
246,F,56,53000,247,2016-03-28,2016,3,2,83.71,5
247,M,50,90000,248,2014-10-15,2014,2,5,99.58,6
248,M,73,95000,249,2017-10-08,2017,5,5,71.44,5
249,F,49,74000,250,2017-12-10,2017,2,4,100.63,6
250,M,37,50000,251,2016-01-09,2016,1,2,125.62,7
251,M,65,57000,252,2016-02-12,2016,4,2,308.01,10
252,F,64,81000,253,2016-02-25,2016,4,4,189.79,9
253,F,48,53000,254,2016-10-14,2016,2,2,55.989999999999995,4
254,M,20,32000,255,2015-08-12,2015,1,1,93.7,6
255,M,46,40000,256,2018-07-23,2018,2,1,127.31,7
256,M,24,69000,257,2015-04-27,2015,1,3,67.32,5
257,M,71,95000,258,2015-08-26,2015,5,5,333.16,10
258,F,50,78000,259,2018-05-25,2018,2,4,0.0,1
259,M,37,92000,260,2017-05-15,2017,1,5,191.59,9
260,F,57,81000,261,2016-05-22,2016,3,4,129.14,7
261,M,52,85000,262,2014-04-25,2014,3,4,142.75,7
262,M,41,41000,263,2016-08-24,2016,2,1,22.31,2
263,F,66,74000,264,2017-06-18,2017,4,4,107.5,6
264,F,66,87000,265,2015-10-01,2015,4,5,173.8,8
265,F,68,120000,266,2017-10-25,2017,4,5,164.52,8
266,M,20,70000,267,2016-03-08,2016,1,3,19.79,2
267,M,43,42000,268,2017-07-04,2017,2,1,64.73,5
268,M,73,38000,269,2017-12-12,2017,5,1,104.78999999999999,6
269,F,42,56000,270,2017-05-29,2017,2,2,146.62,8
270,M,82,110000,271,2016-06-04,2016,5,5,222.45000000000002,9
271,F,70,92000,272,2017-11-09,2017,5,5,135.57999999999998,7
272,F,42,71000,273,2017-10-10,2017,2,4,66.67,5
273,M,48,62000,274,2015-09-03,2015,2,3,125.62,7
274,F,53,93000,275,2015-09-10,2015,3,5,222.35,9
275,M,64,67000,276,2018-03-04,2018,4,3,0.0,1
276,M,79,90000,277,2018-01-23,2018,5,5,87.65,6
277,M,51,55000,278,2016-05-11,2016,2,2,30.89,3
278,F,45,88000,279,2018-01-20,2018,2,5,0.0,1
279,F,48,105000,280,2016-06-02,2016,2,5,96.45,6
280,F,54,119000,281,2015-10-24,2015,3,5,181.16,9
281,M,52,48000,282,2018-07-10,2018,3,2,31.4,3
282,M,28,68000,283,2013-09-24,2013,1,3,171.81,8
283,M,69,47000,284,2014-05-02,2014,4,2,56.84,4
284,M,73,92000,285,2017-06-27,2017,5,5,298.64,10
285,F,67,71000,286,2017-08-13,2017,4,4,87.88,6
286,F,76,34000,287,2018-06-13,2018,5,1,82.42999999999999,5
287,F,55,53000,288,2015-11-21,2015,3,2,140.48,7
288,F,89,83000,289,2018-06-23,2018,5,4,50.89,4
289,M,57,41000,290,2018-04-29,2018,3,1,21.36,2
290,F,54,70000,291,2018-02-11,2018,3,3,9.77,1
291,M,58,73000,292,2017-12-27,2017,3,4,23.45,2
292,M,49,39000,293,2017-11-23,2017,2,1,5.09,1
293,F,73,79000,294,2018-05-07,2018,5,4,55.9,4
294,F,58,76000,295,2017-02-19,2017,3,4,163.13,8
295,M,51,70000,296,2017-12-14,2017,2,3,22.97,2
296,M,74,78000,297,2016-04-18,2016,5,4,169.31,8
297,M,53,95000,298,2015-09-06,2015,3,5,133.4,7
298,M,61,32000,299,2018-02-27,2018,4,1,38.910000000000004,3
299,M,41,55000,300,2017-10-24,2017,2,2,0.0,1
300,F,64,95000,301,2017-10-08,2017,4,5,218.46,9
301,M,42,75000,302,2017-09-08,2017,2,4,148.84,8
302,M,50,57000,303,2016-04-26,2016,2,2,304.61,10
303,M,60,56000,304,2017-09-03,2017,4,2,32.519999999999996,3
304,F,57,83000,305,2016-04-08,2016,3,4,261.09,10
305,F,39,54000,306,2017-04-07,2017,1,2,213.6,9
306,F,57,67000,307,2016-08-27,2016,3,3,378.95,10
307,M,57,71000,308,2017-12-16,2017,3,4,106.3,6
308,M,68,51000,309,2016-03-18,2016,4,2,64.51,5
309,F,83,114000,310,2015-09-10,2015,5,5,198.57,9
310,F,35,72000,311,2018-01-02,2018,1,4,103.97,6
311,F,90,72000,312,2018-01-01,2018,5,4,47.910000000000004,4
312,M,56,72000,313,2018-04-04,2018,3,4,16.53,2
313,M,84,81000,314,2017-09-07,2017,5,4,33.93,3
314,M,62,39000,315,2018-03-12,2018,4,1,25.22,3
315,M,63,58000,316,2017-02-23,2017,4,3,193.47,9
316,M,67,56000,317,2016-01-05,2016,4,2,93.95,6
317,F,68,50000,318,2017-11-26,2017,4,2,104.27,6
318,M,55,73000,319,2017-05-08,2017,3,4,75.52,5
319,F,24,59000,320,2017-02-07,2017,1,3,610.0999999999999,10
320,M,40,39000,321,2017-08-15,2017,2,1,33.28,3
321,M,83,61000,322,2018-01-18,2018,5,3,75.41,5
322,F,63,41000,323,2017-03-16,2017,4,1,58.87,4
323,F,59,59000,324,2018-01-16,2018,3,3,206.86,9
324,O,49,42000,325,2017-12-07,2017,2,1,119.60000000000001,7
325,F,61,99000,326,2016-06-12,2016,4,5,156.28,8
326,M,42,57000,327,2018-06-13,2018,2,2,40.05,3
327,M,58,36000,328,2018-01-29,2018,3,1,24.57,3
328,F,48,44000,329,2016-10-21,2016,2,1,94.18,6
329,M,35,64000,330,2017-08-29,2017,1,3,14.86,2
330,M,36,31000,331,2018-03-15,2018,1,1,33.480000000000004,3
331,F,41,100000,332,2016-04-14,2016,2,5,102.12,6
332,F,83,73000,333,2017-04-30,2017,5,4,246.75,10
333,M,53,87000,334,2017-10-15,2017,3,5,96.24,6
334,F,53,97000,335,2016-01-15,2016,3,5,195.43,9
335,F,80,48000,336,2018-01-10,2018,5,2,431.56,10
336,M,25,66000,337,2015-11-16,2015,1,3,27.28,3
337,M,63,119000,338,2015-11-04,2015,4,5,126.59,7
338,F,63,66000,339,2016-06-14,2016,4,3,164.66,8
339,F,56,109000,340,2018-01-23,2018,3,5,400.53,10
340,M,43,59000,341,2017-10-04,2017,2,3,9.55,1
341,F,58,58000,342,2016-03-14,2016,3,3,61.78,4
342,M,59,59000,343,2017-01-23,2017,3,3,195.83,9
343,M,49,104000,344,2018-03-18,2018,2,5,79.54,5
344,F,63,70000,345,2017-09-12,2017,4,3,22.009999999999998,2
345,M,42,94000,346,2015-12-10,2015,2,5,219.97,9
346,F,52,57000,347,2018-01-17,2018,3,2,33.91,3
347,F,57,37000,348,2018-04-08,2018,3,1,309.9,10
348,F,56,59000,349,2017-11-09,2017,3,3,65.22,5
349,M,80,87000,350,2017-10-15,2017,5,5,83.4,5
350,M,43,52000,351,2016-02-11,2016,2,2,172.94,8
351,M,54,70000,352,2017-11-14,2017,3,3,14.190000000000001,2
352,M,28,73000,353,2016-11-11,2016,1,4,127.81,7
353,F,57,95000,354,2017-10-08,2017,3,5,215.32,9
354,M,71,67000,355,2015-03-10,2015,5,3,35.25,3
355,F,64,112000,356,2018-04-18,2018,4,5,104.63,6
356,M,20,49000,357,2014-05-31,2014,1,2,10.83,1
357,F,36,58000,358,2017-04-23,2017,1,3,87.33,6
358,F,45,99000,359,2016-10-04,2016,2,5,179.08,8
359,M,71,65000,360,2014-12-17,2014,5,3,142.77,7
360,M,67,89000,361,2018-06-01,2018,4,5,88.81,6
361,F,72,81000,362,2016-09-22,2016,5,4,116.6,7
362,M,51,100000,363,2018-05-12,2018,2,5,156.07999999999998,8
363,M,48,68000,364,2017-09-19,2017,2,3,99.11,6
364,M,53,60000,365,2018-04-10,2018,3,3,35.2,3
365,M,25,53000,366,2018-02-15,2018,1,2,9.47,1
366,F,79,85000,367,2018-01-10,2018,5,4,274.4,10
367,M,19,32000,368,2018-06-24,2018,1,1,14.780000000000001,2
368,F,28,49000,369,2018-04-11,2018,1,2,8.899999999999999,1
369,M,56,76000,370,2014-06-11,2014,3,4,188.9,9
370,M,44,37000,371,2014-03-19,2014,2,1,21.03,2
371,M,25,40000,372,2017-12-25,2017,1,1,41.68,4
372,F,61,78000,373,2018-01-13,2018,4,4,142.57999999999998,7
373,M,34,59000,374,2017-09-22,2017,1,3,18.09,2
374,F,41,37000,375,2017-12-10,2017,2,1,133.56,7
375,M,44,51000,376,2016-12-04,2016,2,2,39.88,3
376,F,51,92000,377,2018-06-29,2018,2,5,77.24000000000001,5
377,M,47,44000,378,2017-11-09,2017,2,1,4.54,1
378,F,63,70000,379,2018-07-07,2018,4,3,56.83,4
379,M,62,61000,380,2017-11-26,2017,4,3,62.519999999999996,5
380,M,66,71000,381,2018-07-03,2018,4,4,31.67,3
381,M,62,70000,382,2017-12-08,2017,4,3,105.7,6
382,M,83,88000,383,2016-04-10,2016,5,5,278.71000000000004,10
383,M,43,58000,384,2018-06-27,2018,2,3,18.97,2
384,F,66,94000,385,2016-12-04,2016,4,5,48.22,4
385,M,70,44000,386,2017-11-18,2017,5,1,12.61,1
386,F,65,66000,387,2018-01-12,2018,4,3,58.379999999999995,4
387,F,33,54000,388,2016-11-06,2016,1,2,190.82999999999998,9
388,M,63,78000,389,2018-07-26,2018,4,4,20.86,2
389,M,77,42000,390,2017-08-01,2017,5,1,16.21,2
390,F,49,57000,391,2017-10-16,2017,2,2,30.2,3
391,M,53,104000,392,2017-01-23,2017,3,5,215.63,9
392,F,61,87000,393,2016-02-28,2016,4,5,191.42,9
393,M,60,38000,394,2015-12-15,2015,4,1,117.13,7
394,F,44,60000,395,2017-09-18,2017,2,3,167.0,8
395,M,69,62000,396,2015-06-22,2015,4,3,91.47,6
396,M,39,71000,397,2018-05-24,2018,1,4,12.33,1
397,F,38,55000,398,2015-03-26,2015,1,2,77.83,5
398,F,83,99000,399,2017-12-23,2017,5,5,174.91,8
399,F,63,94000,400,2016-01-24,2016,4,5,255.7,10
400,F,41,41000,401,2015-10-15,2015,2,1,27.03,3
401,M,54,39000,402,2017-11-12,2017,3,1,24.549999999999997,3
402,M,41,55000,403,2018-01-26,2018,2,2,74.78,5
403,F,56,69000,404,2017-09-22,2017,3,3,22.85,2
404,M,50,98000,405,2018-01-18,2018,2,5,26.7,3
405,M,58,55000,406,2015-11-23,2015,3,2,162.13,8
406,M,39,61000,407,2017-04-25,2017,1,3,65.82,5
407,F,60,55000,408,2017-09-26,2017,4,2,81.14999999999999,5
408,F,60,74000,409,2016-09-06,2016,4,4,89.35,6
409,M,24,38000,410,2018-07-03,2018,1,1,5.89,1
410,M,48,57000,411,2016-11-30,2016,2,2,139.69,7
411,M,50,110000,412,2018-03-26,2018,2,5,106.58,6
412,F,41,67000,413,2017-07-30,2017,2,3,32.6,3
413,M,45,84000,414,2015-05-04,2015,2,4,164.07,8
414,M,48,93000,415,2016-07-09,2016,2,5,209.17,9
415,M,59,87000,416,2018-02-01,2018,3,5,57.29,4
416,M,43,45000,417,2018-04-23,2018,2,1,18.54,2
417,F,56,67000,418,2017-10-21,2017,3,3,270.03,10
418,M,54,93000,419,2016-12-06,2016,3,5,261.22,10
419,F,48,47000,420,2018-07-22,2018,2,2,98.85,6
420,M,63,49000,421,2017-12-26,2017,4,2,13.99,2
421,M,47,35000,422,2017-12-02,2017,2,1,31.99,3
422,M,52,56000,423,2016-08-30,2016,3,2,48.88,4
423,F,58,78000,424,2016-09-05,2016,3,4,93.96000000000001,6
424,M,78,39000,425,2015-05-09,2015,5,1,49.08,4
425,M,43,40000,426,2014-07-01,2014,2,1,71.03,5
426,M,68,61000,427,2017-08-06,2017,4,3,11.34,1
427,M,18,48000,428,2015-05-03,2015,1,2,27.54,3
428,F,39,85000,429,2016-09-19,2016,1,4,162.07,8
429,M,74,99000,430,2018-07-21,2018,5,5,71.17999999999999,5
430,F,53,98000,431,2017-01-19,2017,3,5,148.85,8
431,F,61,67000,432,2015-09-23,2015,4,3,366.74,10
432,M,23,54000,433,2018-04-28,2018,1,2,21.04,2
433,M,46,55000,434,2017-11-09,2017,2,2,29.97,3
434,M,51,78000,435,2017-08-27,2017,2,4,25.37,3
435,M,77,86000,436,2018-04-07,2018,5,5,127.89,7
436,F,79,91000,437,2017-10-26,2017,5,5,136.59,7
437,M,41,41000,438,2015-05-14,2015,2,1,30.96,3
438,F,60,78000,439,2016-02-17,2016,4,4,170.77,8
439,F,54,47000,440,2017-11-23,2017,3,2,137.43,7
